FakeName,FakeCompany,FakePosition,FakeEmail,Size,w1,w2,penalty
Brian Porter,Wright-Herring,Cabin crew,jennifer93@wade.com,0,0.0,1.0,1.0
Marissa Davis,"Ramos, Everett and Caldwell",Social researcher,jennifer93@wade.com,51-200 employees,0.0,1.0,1.0
Sara Schwartz,"Christensen, Swanson and Reynolds",Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Christy Jones,"Murray, Glover and Schaefer",Futures trader,jennifer93@wade.com,0,1.0,1.0,2.0
Paul Patton,"Stevens, Weaver and Hernandez",Film/video editor,jennifer93@wade.com,0,1.0,1.0,2.0
Marie Smith,Espinoza LLC,Private music teacher,jennifer93@wade.com,0,1.0,1.0,2.0
Pamela Hayes,Fletcher Group,Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Daniel Huffman,"Martinez, Everett and Pacheco",Purchasing manager,jennifer93@wade.com,-,0.0,1.0,1.0
Heather Santiago,Rojas Ltd,Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Johnathan Anderson,"Torres, Fields and Ball",Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Shawn Moran,Bennett Group,Cytogeneticist,jennifer93@wade.com,"10,001+ employees",0.0,1.0,1.0
Jessica Phillips,"Burton, Gonzales and Castaneda",Engineering geologist,jennifer93@wade.com,0,1.0,0.0,1.0
Shannon Alexander,Rangel-Cook,Film/video editor,jennifer93@wade.com,0,1.0,0.0,1.0
Mary Scott,Cohen and Sons,Editorial assistant,jennifer93@wade.com,0,1.0,1.0,2.0
Andrea Andrews,Vazquez Group,Youth worker,jennifer93@wade.com,0,1.0,0.0,1.0
Caleb Chapman,Duncan-Russo,Film/video editor,jennifer93@wade.com,0,0.0,1.0,1.0
Amanda Johnson,"Allen, Trujillo and Hunt",Film/video editor,jennifer93@wade.com,0,1.0,1.0,2.0
Robert Williams,Martin-Faulkner,Hospital pharmacist,jennifer93@wade.com,0,0.0,0.0,0.0
Paul Howe,Smith-Wilson,Fish farm manager,jennifer93@wade.com,0,0.0,0.0,0.0
Denise Rojas,Ross-Wood,Cytogeneticist,jennifer93@wade.com,0,1.0,1.0,2.0
Charles Torres,"Stevens, Potts and Henderson","Pilot, airline",jennifer93@wade.com,0,1.0,0.0,1.0
Thomas Reynolds,Davis-Wiley,Print production planner,jennifer93@wade.com,0,0.0,1.0,1.0
David Montes,Davis PLC,Pension scheme manager,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Briana Harris,Johnson Ltd,Building control surveyor,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Christine Brown,"Ross, Cobb and Maynard",Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Terry Fowler,"Frye, Lin and Cook",Astronomer,jennifer93@wade.com,0,1.0,1.0,2.0
Allison Oliver,"Williams, Walls and Russo","Designer, graphic",jennifer93@wade.com,0,1.0,0.0,1.0
Kimberly Lopez,Chandler PLC,Industrial/product designer,jennifer93@wade.com,0,0.0,0.0,0.0
Jesus Scott,House Group,Youth worker,jennifer93@wade.com,0,1.0,1.0,2.0
Amanda Ferguson,Ramirez-Gaines,Public relations account executive,jennifer93@wade.com,0,1.0,1.0,2.0
Kristin Whitehead,"Sutton, Duran and Murphy",Private music teacher,jennifer93@wade.com,0,0.0,1.0,1.0
Sabrina Cook,"Hayes, Bates and Pennington",Neurosurgeon,jennifer93@wade.com,0,1.0,1.0,2.0
Rebecca Hardy,"Thomas, Cohen and Mendez",Advertising copywriter,jennifer93@wade.com,11-50 employees,0.0,1.0,1.0
Susan Johnson,Porter-Aguilar,Astronomer,jennifer93@wade.com,0,1.0,0.0,1.0
William Parks,"Gilmore, Johnson and Rivera",Barrister's clerk,jennifer93@wade.com,-,0.0,1.0,1.0
